datum;uitspoeling;afstroming;verhouding
2016-10-02;3364.14170038502;0;100
2016-10-03;5866.09464551486;0;100
2016-10-04;4514.90380926586;0;100
2016-10-05;3422.47442900646;0;100
2016-10-06;2725.69353904235;0;100
2016-10-07;2247.51660648195;0;100
2016-10-08;1944.18060204482;0;100
2016-10-09;1757.86971842703;0;100
2016-10-10;1691.79231392384;0;100
2016-10-11;1553.55619260925;0;100
2016-10-12;1493.28767994418;0;100
2016-10-13;1466.97470839096;0;100
2016-10-14;1433.04539545575;0;100
2016-10-15;3417.65971018456;0;100
2016-10-16;3300.24839804615;0;100
2016-10-17;2783.22943255406;0;100
2016-10-18;2367.74444093909;0;100
2016-10-19;8117.50136817607;0;100
2016-10-20;7772.41379318529;0;100
2016-10-21;6500.37414812108;0;100
2016-10-22;5313.45458366108;0;100
2016-10-23;4411.18354463591;0;100
2016-10-24;3710.17334498918;0;100
2016-10-25;3210.83235011587;0;100
2016-10-26;2865.44715287428;0;100
2016-10-27;2538.47032061591;0;100
2016-10-28;2326.38408944621;0;100
2016-10-29;2201.98510745282;0;100
2016-10-30;2078.93566515699;0;100
2016-10-31;1949.06553939545;0;100
2016-11-01;1774.58762790355;0;100
2016-11-02;2037.66604564462;0;100
2016-11-03;2672.09415111378;0;100
2016-11-04;2643.68029458949;0;100
2016-11-05;3577.10135687493;510.366978004578;98.219512195122
2016-11-06;5127.57493295939;1124.38705567724;96.1463414634146
2016-11-07;6072.93795422083;1.22171587792631;99.9024390243902
2016-11-08;5241.42998542513;1088.04416936081;95.0731707317073
2016-11-09;5515.40676288094;6032.66114065273;87.2682926829268
2016-11-10;8190.01212130489;4465.20614900172;86.7142857142857
2016-11-11;10226.5034689623;0;100
2016-11-12;8616.86853382395;2137.44777747051;84.9523809523809
2016-11-13;8812.67329863663;6.8334336090139;98.8333333333333
2016-11-14;7836.53324150532;2788.73636455957;86.8095238095238
2016-11-15;8058.58576347966;3013.59783367926;84.8333333333333
2016-11-16;8284.2810308354;3887.53584857035;82.3571428571429
2016-11-17;8756.61877785711;8312.12275553336;78.8333333333333
2016-11-18;10588.5536569208;0;100
2016-11-19;9302.43109312944;1236.7138797122;91.8809523809524
2016-11-20;8786.56956822262;3864.82529292477;81.6904761904762
2016-11-21;8795.4497202479;775.174128743892;89.4523809523809
2016-11-22;8123.00238593981;0;100
2016-11-23;7012.39005781423;0;100
2016-11-24;6292.79185568939;0;100
2016-11-25;5699.03775001464;0;100
2016-11-26;5043.70633937221;0;100
2016-11-27;4524.20692837169;0;100
2016-11-28;4242.01998858375;0;100
2016-11-29;3874.23471918128;0;100
2016-11-30;3543.85651175018;0;100
2016-12-01;3371.64019170649;0;100
2016-12-02;3232.12040934917;0;100
2016-12-03;3367.03450719955;0;100
2016-12-04;3356.39662382035;0;100
2016-12-05;3093.42897108072;0;100
2016-12-06;2877.95294157515;0;100
2016-12-07;2803.64024230757;0;100
2016-12-08;2698.64567370761;0;100
2016-12-09;2758.94367373216;1.20246882216616;99.625
2016-12-10;2687.84887887528;561.700843816093;94.2
2016-12-11;4392.7337950621;3.1946223912329;99.219512195122
2016-12-12;4222.4973417851;20.6125784715623;99.3658536585366
2016-12-13;3822.54727087154;8.90284288652712;98.5365853658537
2016-12-14;3675.89595189057;0;100
2016-12-15;3377.72151712978;0;100
2016-12-16;3135.83366613764;0;100
2016-12-17;2889.47679130862;0;100
2016-12-18;2755.420442874;0;100
2016-12-19;2735.73375647607;0;100
2016-12-20;2562.19782949305;0;100
2016-12-21;2473.79094527014;101.253482802478;96.1578947368421
2016-12-22;2993.0926163512;1.3241792817882;99.575
2016-12-23;2919.86309753936;11.267991692495;98.3
2016-12-24;2848.10581987075;147.614376501947;97.2
2016-12-25;2843.99254765423;87.9833484592331;97.625
2016-12-26;2824.2912505532;46.1812786739747;96.9
2016-12-27;3040.09208164592;0;100
2016-12-28;2825.71589924058;0;100
2016-12-29;2633.39270776778;0;100
2016-12-30;2568.62577358863;0.054087970197053;99.974358974359
2016-12-31;2563.22348082725;5.57549171279243;98.8421052631579
2017-01-01;2528.56050615263;48.0752061332385;96.7368421052632
2017-01-02;2836.23157264841;352.384232809029;94.925
2017-01-03;3406.67399277922;56.5074545011988;98.15
2017-01-04;3305.50467953214;18.8769573048177;97.825
2017-01-05;3237.41746819583;0;100
2017-01-06;2945.62835080647;448.247081489702;94.65
2017-01-07;3076.64179747752;7.00010272142887;98.7317073170732
2017-01-08;3058.11515460037;0;100
2017-01-09;2832.47007349438;2695.2922622191;91.775
2017-01-10;4203.3775187911;183.227084695498;97.219512195122
2017-01-11;3995.37903312962;0;100
2017-01-12;3494.20240214029;13377.4194578549;77.5853658536585
2017-01-13;8790.97292431641;4823.06952070827;78.0238095238095
2017-01-14;9250.95461733134;3349.31663010532;81.7619047619048
2017-01-15;8885.84938703538;8.6908704368479;98.6428571428571
2017-01-16;7671.56298636367;0;100
2017-01-17;6523.46624984837;0;100
2017-01-18;5784.45060660978;0;100
2017-01-19;5131.99585826261;0;100
2017-01-20;4552.48045835755;0;100
2017-01-21;4192.92752742104;0;100
2017-01-22;3790.88710214641;0;100
2017-01-23;3540.61061042461;0;100
2017-01-24;3459.6780836811;0;100
2017-01-25;3271.16643996271;0;100
2017-01-26;3148.0095801737;0;100
2017-01-27;2903.94361273774;0;100
2017-01-28;2705.81597234869;0;100
2017-01-29;2665.8947886758;439.342749794915;94.6410256410256
2017-01-30;3913.94507750409;3.1946223912329;99.219512195122
2017-01-31;3834.98471502036;0;100
2017-02-01;3545.68195556734;59.8257846832457;97.35
2017-02-02;3442.36663876069;71.2029807139621;97.780487804878
2017-02-03;3435.26989208782;3.27448795101373;99.2
2017-02-04;3250.6026773819;3032.43728239277;89.55
2017-02-05;5401.31806115553;0;100
2017-02-06;4956.86641223858;0;100
2017-02-07;4332.64729856069;633.926353636725;94.3658536585366
2017-02-08;4433.47839181169;8.90284288652712;98.5609756097561
2017-02-09;4094.06020516621;0;100
2017-02-10;3800.4644486962;12.4061632035782;98.25
2017-02-11;3609.71780229805;2055.75721084975;89.6
2017-02-12;4357.98712053732;0;100
2017-02-13;3850.12257988592;0;100
2017-02-14;3404.5176627937;0;100
2017-02-15;3049.11465917829;0;100
2017-02-16;2798.50703073872;0;100
2017-02-17;2623.69894969587;0;100
2017-02-18;2561.47902405925;0;100
2017-02-19;2433.75674927868;0;100
2017-02-20;2415.7609642199;0;100
2017-02-21;2970.04479750867;778.002154486914;93.6
2017-02-22;3882.6795039963;12869.9185401933;73.5365853658537
2017-02-23;8225.84896129102;4994.42740769742;77.3095238095238
2017-02-24;8780.51425169154;0;100
2017-02-25;7227.91921330264;2180.16642561221;82.6666666666667
2017-02-26;7321.31276875139;0;100
2017-02-27;6484.9359902011;14058.8408815708;70.9047619047619
2017-02-28;8896.56712703676;174.05554597073;97.6279069767442
2017-03-01;7993.25464147646;11838.7987553321;70.4651162790698
2017-03-02;9239.82763161558;1405.26649328451;85.9767441860465
2017-03-03;8569.22592935274;0;100
2017-03-04;7298.72249239393;2138.29228857632;82.1860465116279
2017-03-05;7266.23976987588;2751.31717783385;80.4651162790698
2017-03-06;7209.29362879993;2251.09792914478;84.1162790697674
2017-03-07;6980.24371691668;4105.7667086773;78.7441860465116
2017-03-08;7200.46744079438;11076.1764702422;69.3023255813954
2017-03-09;8845.72199268332;0;100
2017-03-10;7604.03105334042;0;100
2017-03-11;6274.53117568967;0;100
2017-03-12;5522.31056563693;0;100
2017-03-13;4730.00971768187;0;100
2017-03-14;4053.17211833951;0;100
2017-03-15;3588.34076793887;0;100
2017-03-16;3088.90676198103;0;100
2017-03-17;2732.71342834769;0;100
2017-03-18;3911.82561870416;293.273376550906;97.5348837209302
2017-03-19;4938.72498070159;354.734784944722;97.5348837209302
2017-03-20;4697.18119987214;576.124087602833;92.5116279069767
2017-03-21;5647.63563667268;0;100
2017-03-22;4886.01517011808;0;100
2017-03-23;3976.88949875315;0;100
2017-03-24;3360.60304045625;0;100
2017-03-25;2805.42547118295;0;100
2017-03-26;2436.73291696405;0;100
